Restaurant_Name,Web_Link,Locality,Sponsored,Ratings_out_of_5,Number of votes,Phone_number,Cuisines,Charges_for_two,payment_modes,Rest_timming,Detail_address,5_star_review_percentage,4_star_review_percentage,3_star_review_percentage,2_star_review_percentage,1_star_review_percentage,Wine and Beer,Dance Floor,Lunch Menu,Outdoor Seating,Seaside,4/5 Star,Free Parking,Pet Friendly,Bulk Orders Accepted,Gaming Are,City View,Vegetarian Only,Brunch,Live Music,Wheelchair Accessible,Home Delivery,Celebrity Frequented,Pre-Ordering Required,Pool Table,Keto Options,Wifi,Sports TV,Wine Tasting,Beer,Restricted Entry,Variable Menu,Serves Non Veg,Table booking for Groups,Poolside,Home Baker,Wine,Buffet,Board Games,Vegan Options,Table Reservation Not Required,Table reservation required,Rooftop,BYOB,Egg Preparations,Live Sports Screening,Luxury Dining,Seating Not Available,Desserts and Bakes,Card Upon Delivery,Serves Jain Food,Mall Parking,Available for Functions,Gastro Pub,Live Entertainment,Sugar Free Options,Couple Entry Only,Above 18 Only,Drive in,Drive Thru,Valet Parking Available,Indoor Seating,Free Wifi,Nightlife,Serves Cocktails,Kid Friendly,Craft Beer,All Day Breakfast,Gluten Free Options,Group Meal,Table booking not available,Full Bar Available,Members Only,Standing Tables,Karaoke,Entry Fee,Self Service,Delivery Only,LGBTQIA Friendly,No Alcohol Available,Unlimited Pizz,Private Dining Area Available,Smoking Are,Table booking recommended,Resto Bar,Serves Alcohol,Breakfast,Catering Available,Disabled Friendly,Serves Halal,Takeaway Only,BYOB Only,spam_review
UFO Burger Kitchen,https://www.zomato.com/pune/ufo-burger-kitchen-wakad,Wakad,Delivery,0,0,+91 8047483969,"Burger, Fast Food, Beverages",Not Present,"Cash,Cards and Digital Payments accepted",11am – 11pm,"Shop 1, 2, 239/1E, Casapoli, Kaspate Wasti, Wakad, Pune",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berozgar Bawarchi,https://www.zomato.com/pune/berozgar-bawarchi-1-pashan,Pashan,Delivery,0,0,+91 8108152563 +91 7977466122,"Mughlai, North Indian, Bengali",Not Present,Cash only,11am – 9pm,"Pashan - Sus Road, Pashan, Pune",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
What A Burger,https://www.zomato.com/pune/what-a-burger-baner,Baner,Quick Bites,3.2,Based on 8 votes,+91 9527507207,"Burger, Fast Food",₹300,Cash and Digital Payments accepted,12noon – 5am,"Shop 1-3, Kalanand Apartments, Opposite Kapil Malhar, Baner, Pune",61%,13%,0%,13%,13%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fit & Fat Bistro,https://www.zomato.com/pune/fit-fat-bistro-aundh,Aundh,Quick Bites,3.5,Based on 9 votes,+91 9976026026,"Fast Food, Beverages",₹400,Cash and Digital Payments accepted,12noon – 10:30pm,"Shop C-4, Sai Heritage, Near Medipoint Hospital, New DP Road, Aundh, Pune",100%,0%,0%,0%,0%,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bedis Naan House,https://www.zomato.com/pune/bedis-naan-house-1-baner,Baner,Quick Bites,3.5,Based on 86 votes,+91 8669997495,"North Indian, Fast Food",₹250,Cash only,"10:45am – 4pm, 7:30pm – 11pm","Shop 11, D-Square, Opposite Cummins India Office, Balewadi High Street, Baner, Pune",58%,5%,7%,9%,21%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahesh Andra Mess,https://www.zomato.com/pune/mahesh-andra-mess-hinjawadi,Hinjawadi,Quick Bites,3.5,Based on 26 votes,+91 9175910910 +91 9175767999,"North Indian, Hyderabadi",₹400,"Cash,Cards and Digital Payments accepted","8am – 3:30pm, 7pm – 11pm","141, Reliance Tower, Jayram Nagar, Hinjewadi-Wakad Road, Hinjewadi, Pune",49%,35%,12%,4%,0%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Barbeque Celebration,https://www.zomato.com/pune/barbeque-celebration-hinjawadi,Hinjawadi,Casual Dining,3.6,227  votes,+91 9673871050 +91 8793715000,"Mughlai, North Indian","₹1,200",Cash and Cards accepted,5pm – 3am,"259/7, Laxmi Chowk, Sakhre Dhawle Vasti Jambulkar Mala, Hinjawadi, Pune",62%,17%,7%,2%,12%,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
Kebab Nation,https://www.zomato.com/pune/kebab-nation-baner,Baner,Delivery,3.6,88  votes,+91 8080582400,"North Indian, Biryani, Mughlai, Kebab",Not Present,Cash only,"12noon – 3pm, 7pm – 1am","Shop 14, Shivranjan Towers, Someshwarwadi, Baner, Pune",75%,6%,3%,6%,10%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Apricot Veg,https://www.zomato.com/pune/apricot-veg-1-wakad,Wakad,Casual Dining,3.8,187  votes,+91 8888501300,"North Indian, Chinese, Fast Food, Desserts",₹650,Cash and Cards accepted,"11am – 3:30pm, 7pm – 11pm","Shop 5-6, Cubes Commercial, Street 183, Datta Mandir Road, Wakad, Pune",41%,38%,11%,4%,6%,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Cream Centre,https://www.zomato.com/pune/cream-centre-baner,Baner,Casual Dining,3.6,442  votes,080 46971943,"North Indian, Italian, Mexican, Street Food","₹1,600",Cash and Cards accepted,12noon – 11pm,"Survey 135/3, Shop 668, Balewadi Phata, Baner, Pune",32%,26%,17%,10%,15%,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,31
Tabbu's,https://www.zomato.com/pune/tabbus-hinjawadi,Hinjawadi,Food Court,3.5,95  votes,+91 9028088240 +91 9096595342,"Chinese, North Indian, Rolls",₹400,Cash and Cards accepted,12:30pm – 2am,"Shreenath Corner, Jayram Nagar, Behind Persistent Company, Phase1, Hinjawadi, Pune",32%,29%,18%,7%,14%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
BottomsUp Resto,https://www.zomato.com/bottomsupresto,Hinjawadi,"Casual Dining, Bar",3.6,97  votes,+91 7447475557,"North Indian, Chinese","₹1,200","Cash,Cards and Digital Payments accepted",6pm – 5:30am,"Dange Chowk Road, Wakad Hinjewadi Road, Near Orritel Hotel, Hinjawadi, Pune",59%,16%,14%,4%,7%,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
Virinda Pav Bhaji,https://www.zomato.com/pune/virinda-pav-bhaji-hinjawadi,Hinjawadi,Quick Bites,3,50  votes,+91 7276553148,Street Food,₹200,Cash and Digital Payments accepted,11am – 11pm,"Shreenath Corner, Hinjawadi Phase 1 Road, Behind Persistent Systems, Hinjawadi, Pune",38%,24%,16%,6%,16%,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Sadanand Resorts,https://www.zomato.com/pune/sadanand-resorts-baner,Baner,Casual Dining,3.6,360  votes,+91 7744081276 +91 8975032126,"North Indian, Chinese, Seafood",₹600,"Cash,Cards and Meal Coupons accepted","12noon – 3:30pm, 7pm – 11:30pm","Survey 105/3, Opposite Balewadi Sports Complex, Baner, Pune",14%,49%,24%,6%,7%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,11
Nutri Narcos,https://www.zomato.com/pune/nutri-narcos-wakad,Wakad,"Takeaway, Delivery",3.7,79  votes,+91 9713955136,"Healthy Food, Sandwich, Beverages",Not Present,Cash only,7am – 11pm,"Flat A-103, Kalp Avenue, Near Bhumkar Chowk, Wakad, Pune",75%,11%,6%,3%,5%,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6
Green Park Exotic,https://www.zomato.com/pune/green-park-exotic-baner,Baner,Casual Dining,3.8,325  votes,+91 8888070008 020 30572244,"North Indian, Chinese, Continental","₹1,000",Cash and Cards accepted,"11am – 3pm, 7pm – 11pm","Hotel Green Park, Baner Road, Baner, Pune",24%,55%,14%,4%,3%,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nandu's Paratha,https://www.zomato.com/pune/nandus-paratha-baner,Baner,Quick Bites,3.4,299  votes,+91 7066561888,"North Indian, Street Food",₹400,Cash and Cards accepted,9am – 12midnight,"131/1/B, Shop 1 & 2, Sai Heritage, Ram Indu Park, Baner Mhalunge Road, Baner, Pune",27%,29%,15%,7%,22%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8
VS Pooriwala,https://www.zomato.com/pune/vs-pooriwala-1-baner,Baner,Quick Bites,3.7,82  votes,+91 8975761702 +91 9689637921,North Indian,₹200,Cash only,Closed,"10A, Sunflower Building, Baner, Pune",65%,23%,4%,4%,4%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
Delish,https://www.zomato.com/pune/delish-wakad,Wakad,Bakery,4.4,501  votes,+91 8087558460 +91 8087557985,Bakery,₹450,Cash only,"10:30am – 2pm, 4:30pm – 8:30pm","204, 2nd Floor, Echoing Greens Commercial, Opposite Eden Garden, Wakad, Pune",76%,17%,3%,1%,3%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Cafe Delights,https://www.zomato.com/pune/cafe-delights-wakad,Wakad,Quick Bites,-,0,+91 9225507721,"Burger, Sandwich, Fast Food",₹250,Cash only,11am – 11pm,"Swami Vivekanand Nagar, Wakad, Pune",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Engineer's Cafe,https://www.zomato.com/pune/engineers-cafe-balewadi,Balewadi,"Takeaway, Delivery",0,0,+91 8600666626,"Fast Food, South Indian, Beverages",Not Present,Cash and Cards accepted,11am – 11pm,"Shop 2, Fresh Up Chaupati, Beside Nicmar College, Balewadi, Pune",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mogambo Pav Bhaji And Juice,https://www.zomato.com/pune/mogambo-pav-bhaji-and-juice-hinjawadi,Hinjawadi,Quick Bites,0,0,+91 7709050575,Street Food,₹300,Cash and Digital Payments accepted,11am – 11pm,"Shop 11, Laxmi Complex, Near Laxmi Chowk, Hinjawadi, Pune",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi Swad,https://www.zomato.com/pune/delhi-swad-wakad,Wakad,Quick Bites,3.7,Based on 24 votes,+91 9284856953,North Indian,₹250,"Cash,Cards and Digital Payments accepted",12noon – 10pm,"Riddhi Siddhi Complex, Chatrapati Chowk Road, Kaspate Wasti, Wakad, Pune",29%,45%,13%,0%,13%,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tandoor Point,https://www.zomato.com/pune/tandoor-point-wakad,Wakad,"Takeaway, Delivery",-,0,+91 8147471515 +91 8147471616,"Chinese, North Indian, Maharashtrian",Not Present,Cash only,9am – 11:30pm,"Survey 18/11/6, Shop 3, Jagtap Dairy Chowk, Wakad, Pune",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Shree Ashapuri Dining Hall,https://www.zomato.com/pune/shree-ashapuri-dining-hall-baner,Baner,Quick Bites,3.4,Based on 15 votes,+91 9822752674,Rajasthani,₹200,Cash only,11am – 11pm,"Shop 1, Survey 85, A P Road, Ganraj Chowk Baner Road, Near Vidhate Building, Baner, Pune",33%,40%,7%,7%,13%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oye BC,https://www.zomato.com/pune/oye-bc-balewadi,Balewadi,Quick Bites,3.5,Based on 19 votes,+91 7385587033,North Indian,₹250,Cash and Digital Payments accepted,12:30pm – 10pm,"Survey 16, Spot 16, Shop 3, Opposite Siemens Gate 1, Balewadi, Pune",68%,21%,11%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gypsy Tongue,https://www.zomato.com/pune/gypsy-tongue-wakad,Wakad,"Takeaway, Delivery",3.7,137  votes,+91 9665617351 +91 9689277798,"North Indian, Chinese",Not Present,"Cash,Cards and Digital Payments accepted","7am – 3pm, 6:45pm – 12:30am","Survey 176/1/2/1, Golande Park, Shriram Colony, Wakad, Pune",55%,21%,4%,7%,13%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11
Sai Leela,https://www.zomato.com/pune/sai-leela-pashan,Pashan,Casual Dining,3.8,409  votes,+91 9860601011 +91 9823974427,"North Indian, Chinese, Mughlai",₹500,Cash and Cards accepted,"11am – 5:30pm, 7pm – 11:30pm","Parekh Chamber, Near Datta Mandir, Pashan Sus Road, Pashan, Pune",37%,27%,13%,8%,15%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
H2O Sports Bar & Rooftop,https://www.zomato.com/pune/h2o-sports-bar-rooftop-hinjawadi,Hinjawadi,"Bar, Casual Dining",0,0,+91 7977950440 +91 9168922745,"North Indian, Chinese, Mughlai","₹1,300",Cash and Cards accepted,6pm – 4am,"Shop 1, Laxmi Idol, Behind Persistent, Jayram Nagar, Hinjawadi, Pune",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mauli Tea & Snacks,https://www.zomato.com/pune/mauli-tea-snacks-wakad,Wakad,Quick Bites,3.3,21  votes,+91 9561020220,Street Food,₹100,Cash and Cards accepted,6:30am – 10:30pm,"Shop 2, Apostrophe Society, Wakad Dutta Mandir Road, Wakad, Pune",43%,24%,14%,0%,19%,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Cafe Of Thrones,https://www.zomato.com/pune/cafe-of-thrones-wakad,Wakad,Quick Bites,4,315  votes,+91 7218558592,"Fast Food, Beverages",₹300,"Cash,Cards and Digital Payments accepted",5pm – 11pm,"201 A, Pristine Square, Opposite Pristine Prolife, Phase 1, Shankar Kalat Road, Wakad, Pune",45%,32%,15%,3%,5%,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Saar By Swati Joshi,https://www.zomato.com/pune/saar-by-swati-joshi-balewadi,Balewadi,Delivery,0,0,+91 9881239661 +91 7875586677,North Indian,Not Present,Cash only,7am – 10pm,"Shop 2, Speciality Business Center, Opposite SKP Campus, Balewadi, Pune",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Friends Corner,https://www.zomato.com/pune/friends-corner-wakad,Wakad,Quick Bites,3.3,Based on 10 votes,+91 7888141450 +91 8308659595,"Fast Food, Sandwich, Rolls",₹300,Cash and Digital Payments accepted,9:30am – 11pm,"Near Indira College, Old Mumbai Pune Highway, Wakad, Pune",100%,0%,0%,0%,0%,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
E Cube Cafe & Games,https://www.zomato.com/pune/e-cube-cafe-games-wakad,Wakad,Quick Bites,-,0,+91 8698229911,Fast Food,₹150,Cash and Digital Payments accepted,11am – 11:30pm,"Shankar Kalat Nagar, Pimpri-Chinchwad, Wakad, Pune",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eatomania,https://www.zomato.com/pune/eatomania-pashan,Pashan,Quick Bites,-,0,+91 9156003003,North Indian,₹250,Cash only,8am – 10pm,"S 6/14, Ground Floor, Dhamale Kokate Height, Sutawari, Pashan, Pune",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Shiv Shankar Chinese,https://www.zomato.com/pune/shiv-shankar-chinese-hinjawadi,Hinjawadi,Quick Bites,3.5,Based on 23 votes,+91 9075076277,Chinese,₹400,Cash only,10am – 10pm,"Hinjawadi Village, Hinjawadi, Pune",56%,22%,9%,13%,0%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aesthetic's Nutrition,https://www.zomato.com/pune/aesthetics-nutrition-wakad,Wakad,"Takeaway, Delivery",3.4,Based on 21 votes,+91 7498574051,Healthy Food,Not Present,Cash and Digital Payments accepted,11am – 8pm,"Shop 2, 165/1, Opposite Vedanta Society, Wakad, Pune",80%,10%,5%,0%,5%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urthenfire,https://www.zomato.com/pune/urthenfire-wakad,Wakad,Casual Dining,3.8,Based on 45 votes,+91 7498084879 +91 7498066656,"North Indian, Maharashtrian",₹600,Cash and Cards accepted,"11:30am – 3:30pm, 7pm – 11pm","Survey 166, Dutta Mandir Road, Opposite Pawana Bank, Wakad, Pune",56%,20%,16%,4%,4%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasty Kona,https://www.zomato.com/pune/tasty-kona-baner,Baner,Quick Bites,3.2,Based on 6 votes,+91 9970775854,"Pizza, Fast Food",₹300,Cash and Digital Payments accepted,12noon – 3am,"House 327, AT/P, Baner, Pune",100%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
